67
1	-0.0033
0.96736	-0.008168363
0.9345	-0.011292514
0.90147	-0.014372541
0.87938	-0.01668044
0.83464	-0.022032002
0.7899	-0.026498428
0.74517	-0.030088038
0.70043	-0.03283351
0.67834	-0.033907054
0.65625	-0.034812477
0.61129	-0.036191445
0.56633	-0.037018044
0.52126	-0.037391743
0.47631	-0.037390276
0.43135	-0.03709132
0.40926	-0.03698842
0.38716	-0.03696829
0.36585	-0.036901307
0.33911	-0.036724903
0.2988	-0.036238877
0.25461	-0.035341835
0.21043	-0.033937667
0.16624	-0.031970409
0.14415	-0.030712989
0.12206	-0.029246348
0.08991	-0.026777871
0.05788	-0.023263575
0.03579	-0.019475803
0.02546	-0.016968493
0.01569	-0.013786097
0.00729	-0.009768442
0.00193	-0.005434378
0	0
0.00193	0.006962569
0.00729	0.014202447
0.01569	0.020336994
0.02546	0.025530837
0.03579	0.030124277
0.05788	0.038131098
0.08991	0.046825959
0.12206	0.053181253
0.14415	0.056527265
0.16624	0.059231876
0.21043	0.062944636
0.25461	0.06486119
0.2988	0.065340303
0.33911	0.064789264
0.36585	0.063875699
0.38716	0.062887598
0.40926	0.061630686
0.43135	0.060155555
0.47631	0.056520665
0.52126	0.052125096
0.56633	0.04705626
0.61129	0.041473889
0.65625	0.035522968
0.67834	0.032507413
0.70043	0.029457358
0.74517	0.023276114
0.7899	0.017248467
0.83464	0.011574032
0.87938	0.006433233
0.90147	0.004142762
0.9345	0.001095564
0.96736	-0.001403541
1	-0.0033
