67
1	-0.023659013
0.96736	-0.032169206
0.9345	-0.038821834
0.90147	-0.044325114
0.87938	-0.047434894
0.83464	-0.052598273
0.7899	-0.056582383
0.74517	-0.059765471
0.70043	-0.06249268
0.67834	-0.06375082
0.65625	-0.064979361
0.61129	-0.067403656
0.56633	-0.069588165
0.52126	-0.071156905
0.47631	-0.071528641
0.43135	-0.07089878
0.40926	-0.070430622
0.38716	-0.069898785
0.36585	-0.069321995
0.33911	-0.068504141
0.2988	-0.067021305
0.25461	-0.064853014
0.21043	-0.061824259
0.16624	-0.057581539
0.14415	-0.054872299
0.12206	-0.051680859
0.08991	-0.046181276
0.05788	-0.039168396
0.03579	-0.032495694
0.02546	-0.028336331
0.01569	-0.023035233
0.00729	-0.015754019
0.00193	-0.007989803
0	0
0.00193	0.008796149
0.00729	0.01757389
0.01569	0.026030196
0.02546	0.032832703
0.03579	0.038449983
0.05788	0.047905269
0.08991	0.057735713
0.12206	0.064816352
0.14415	0.068538436
0.16624	0.07152748
0.21043	0.075850509
0.25461	0.0784613
0.2988	0.079757198
0.33911	0.079725983
0.36585	0.079151385
0.38716	0.078369335
0.40926	0.077284268
0.43135	0.075915608
0.47631	0.072313496
0.52126	0.067638376
0.56633	0.061928841
0.61129	0.055260305
0.65625	0.047720442
0.67834	0.04373685
0.70043	0.03958742
0.74517	0.030761081
0.7899	0.021496227
0.83464	0.011943568
0.87938	0.002270037
0.90147	-0.002506857
0.9345	-0.009589698
0.96736	-0.016502866
1	-0.023659013
