source,alpha_deg,CL,CD,Cm_cg
MBDyn global_nastran,-10,-0.1496690131164383,0.026392732579745552,-1.0972176290671822
MBDyn global_nastran,-9,-0.1350927694201387,0.021398356957309846,-0.9874704097301229
MBDyn global_nastran,-8,-0.12040376598676815,0.01692285927991245,-0.8778052033958506
MBDyn global_nastran,-7,-0.10558875491310106,0.012966284834710746,-0.7680318346908984
MBDyn global_nastran,-6,-0.09068929026148059,0.009528823423485742,-0.6583233012999111
MBDyn global_nastran,-5,-0.07570554490036943,0.006624266852844223,-0.5486486817515578
MBDyn global_nastran,-4,-0.06065146272573292,0.004238840337546617,-0.43893170328368764
MBDyn global_nastran,-3,-0.04552732264476472,0.0023864991513781616,-0.3291381232694407
MBDyn global_nastran,-2,-0.030374980538733026,0.0010672131946117837,-0.2194553219600046
MBDyn global_nastran,-1,-0.015194517441904108,0.0002670422492945953,-0.10972158568285734
MBDyn global_nastran,0,0.0,0.0,-0.0
MBDyn global_nastran,1,0.015194517441904108,0.0002670422492945953,0.10970604794221435
MBDyn global_nastran,2,0.030374980538733026,0.0010672131946117837,0.2193998754643488
MBDyn global_nastran,3,0.04552732264476472,0.0023864991513781616,0.32913382931930985
MBDyn global_nastran,4,0.06065146272573292,0.004238840337546617,0.4389516321200556
MBDyn global_nastran,5,0.07570554490036943,0.006624266852844223,0.5486412367624827
MBDyn global_nastran,6,0.09068929026148059,0.009528823423485742,0.6583490145060442
MBDyn global_nastran,7,0.10558875491310106,0.012966284834710746,0.7680182905857308
MBDyn global_nastran,8,0.12040376598676815,0.01692285927991245,0.8777951121268677
MBDyn global_nastran,9,0.1350927694201387,0.021398356957309846,0.9874556949138358
MBDyn global_nastran,10,0.1496690131164383,0.026392732579745552,1.0972005669315494
MBDyn global_nastran,11,0.16410507463287136,0.03190593627476641,1.2069138644466366
MBDyn global_nastran,12,0.1783867192938666,0.03792412894050165,1.3166193943813416
MBDyn global_nastran,13,0.19251367296320798,0.04444700726417489,1.4264109402700709
MBDyn global_nastran,14,0.20644474766027773,0.05147450962458753,1.536054932150449
MBDyn global_nastran,15,0.22019275146751396,0.05900657086165633,1.6457512587686707
MBDyn global_nastran,16,0.2337443266727978,0.0670157340659822,1.7555496274126234
MBDyn global_nastran,17,0.2470718004850007,0.07552860095548641,1.8652619231645267
MBDyn global_nastran,18,0.2601744785866727,0.08451851197377049,1.9750332586549448
MBDyn global_nastran,19,0.2730251271470282,0.09399826316331436,2.084711348830673
MBDyn global_nastran,20,0.2856229858605423,0.1039409569448455,2.1944314597560157
