67
1	-0.024332231
0.96736	-0.034061206
0.9345	-0.041795494
0.90147	-0.048249498
0.87938	-0.051947576
0.83464	-0.05779128
0.7899	-0.062316101
0.74517	-0.066839912
0.70043	-0.070643112
0.67834	-0.072241042
0.65625	-0.073788514
0.61129	-0.076814834
0.56633	-0.079587067
0.52126	-0.081783466
0.47631	-0.082817409
0.43135	-0.082322065
0.40926	-0.081737507
0.38716	-0.081018725
0.36585	-0.080206636
0.33911	-0.079078024
0.2988	-0.077088053
0.25461	-0.074377377
0.21043	-0.070818244
0.16624	-0.065952795
0.14415	-0.062845793
0.12206	-0.05915836
0.08991	-0.052505822
0.05788	-0.044005795
0.03579	-0.036179966
0.02546	-0.031433312
0.01569	-0.025531824
0.00729	-0.01754621
0.00193	-0.008775554
0	0
0.00193	0.009790658
0.00729	0.018964412
0.01569	0.027366968
0.02546	0.034361175
0.03579	0.040274792
0.05788	0.050035206
0.08991	0.059893321
0.12206	0.066860227
0.14415	0.070518361
0.16624	0.073505712
0.21043	0.077936296
0.25461	0.080829918
0.2988	0.082484079
0.33911	0.082797289
0.36585	0.082422691
0.38716	0.081784379
0.40926	0.080831441
0.43135	0.079595745
0.47631	0.076192724
0.52126	0.071665444
0.56633	0.066008442
0.61129	0.059293801
0.65625	0.051610213
0.67834	0.047515103
0.70043	0.043231712
0.74517	0.034063084
0.7899	0.024412112
0.83464	0.014091034
0.87938	0.00381325
0.90147	-0.001233679
0.9345	-0.008927316
0.96736	-0.016524772
1	-0.024332231
