time_s,left_tip_dz_in,right_tip_dz_in,symmetric_tip_dz_in,total_fx_lbf,total_fy_lbf,total_fz_lbf,global_mx_cg_lbfin,global_my_cg_lbfin,global_mz_cg_lbfin
0.004000000,-3.7282303139818396e-05,-4.2603316003919645e-05,-3.994280957186902e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.008000000,-0.00011974607271270088,-0.0001337582370126711,-0.00012675215486268598,282.66723241418373,1.3872735017739224e-05,318.4653798421726,-35.18502387208167,1067.3557689940826,31.24707992353197
0.012000000,-0.00034996930767761114,-0.0003821255072011809,-0.000366047407439396,-2.1006539542856593,1.2326004964341442e-05,86.19025597796266,-9.527488198781725,1864.3609913331481,-0.2288527956044657
0.016000000,-0.0007230483548994471,-0.0007814187538315309,-0.000752233554365489,-2.301422464864793,2.207985510614685e-06,88.62676390951448,-9.849522303647177,1932.6932991599722,-0.2500270999156058
0.020000000,-0.001238776828060395,-0.001331706927899745,-0.00128524187798007,-2.5477337220570604,-1.4172954471751431e-05,89.08089203313382,-10.054040192260231,1958.708293739943,-0.27822887940246055
0.024000000,-0.0019145482069262698,-0.002050246321957161,-0.0019823972644417154,-2.54825196027858,-2.4904560041151547e-05,92.30841436268379,-10.624698586394516,1990.8763777743666,-0.27595485745514914
0.028000000,-0.002765206393789299,-0.0029509397391507264,-0.0028580730664700127,-2.625618624239066,-4.328375125404321e-05,94.48659844330231,-11.194829601924539,2007.2204882315339,-0.2854828273856498
0.032000000,-0.003803628564497785,-0.004045002202133219,-0.003924315383315502,-2.678662379619848,-6.380756028878665e-05,96.70574919096875,-11.871942281298857,2017.8798396690702,-0.2935148535673786
0.036000000,-0.005040824238193409,-0.005341317060953088,-0.005191070649573248,-2.722182670675289,-8.102969065343357e-05,98.81349671951914,-12.63492721245791,2024.5312030570474,-0.30038077212464565
0.040000000,-0.0064858470138062785,-0.006846613182602823,-0.006666230098204551,-2.756033102456568,-9.895699077187153e-05,100.89574396034881,-13.494981616076643,2028.8952342278349,-0.30707727658728246
0.044000000,-0.008145673565792322,-0.008565583139969135,-0.008355628352880728,-2.783860294799172,-0.00011542078513413628,102.93683196583848,-14.448365720633433,2031.4834359525817,-0.31351368051214834
0.048000000,-0.010025065145512713,-0.010500935274848189,-0.01026300021018045,-2.8072910757141893,-0.0001365333095071225,104.97587746985249,-15.49482397411714,2032.8527305964706,-0.3214184179595847
0.052000000,-0.012126442331691578,-0.012653397731739346,-0.012389920031715462,-2.827174815849729,-0.000157651969306713,107.00687634088402,-16.63289941196058,2033.293218441028,-0.32976307221994006
0.056000000,-0.014449783229764535,-0.015021675887680885,-0.01473572955872271,-2.845448200221984,-0.00018000041031684955,109.00817151486345,-17.866082844641824,2032.7759021328557,-0.33819815448261714
0.060000000,-0.016992611393078505,-0.017602429638671424,-0.017297520515874965,-2.8623487123080857,-0.00020140050424961864,111.01283465847366,-19.20460963167477,2031.464422323939,-0.3470800732708579
0.064000000,-0.019750074812748153,-0.020390282462614095,-0.020070178637681124,-2.87769838593866,-0.00022342881292145012,113.04657288664748,-20.668546098464276,2029.5445271650424,-0.3565009964504142
0.068000000,-0.022715073748813097,-0.023377838802829842,-0.02304645627582147,-2.891935216680933,-0.0002481977500720725,115.11560731461067,-22.26173666552745,2027.0748531975448,-0.3668845178615765
0.072000000,-0.02587845558588242,-0.026555751611724077,-0.02621710359880325,-2.9052028896660334,-0.0002674327164894838,117.23784294450363,-24.009572192085102,2024.170164348603,-0.3775296976063309
0.076000000,-0.029229263228288005,-0.029912855095190594,-0.0295710591617393,-2.917393181567555,-0.00028815831952594406,119.42273825449763,-25.912002328372864,2020.9383140407922,-0.3893813152512351
0.080000000,-0.03275499309322072,-0.03343634046503041,-0.033095666779125565,-2.928739860091524,-0.00031016986471718577,121.68176411821729,-27.976806635219077,2017.4375827149486,-0.4027135968012576
0.084000000,-0.0364418412990517,-0.03711196449889087,-0.036776902898971287,-2.939337649901557,-0.00032466991256648037,124.02297539124527,-30.206999208274397,2013.7092257241302,-0.4174316157661
0.088000000,-0.040274923179936195,-0.04092428101768064,-0.04059960209880842,-2.9491397703377062,-0.00035035847946938287,126.45727304645942,-32.58496862825234,2009.8035199228532,-0.4328756122471802
0.092000000,-0.04423844388108478,-0.044856862659443664,-0.04454765327026422,-2.958260280578102,-0.00036773648016636545,128.98488362295174,-35.10977136257361,2005.790489368469,-0.4505704980442413
0.096000000,-0.04831582856853345,-0.048892505789751795,-0.04860416717914262,-2.9666707046270515,-0.00038774822203020004,131.61188320611498,-37.76999556188014,2001.7012128476294,-0.46901323600899403
0.100000000,-0.05248981309571832,-0.05301340339030958,-0.05275160824301395,-2.9743521283123258,-0.0004044389501635104,134.34247278625068,-40.55049571700499,1997.5671431441858,-0.48942244606026186
0.104000000,-0.05674245675592715,-0.0572012267441977,-0.056971841750062424,-2.981284102724214,-0.00042268969211953916,137.17912153269288,-43.44360921088685,1993.4087229228423,-0.5103828983585359
0.108000000,-0.06105521693632454,-0.061437244885723885,-0.06124623091102421,-2.987414539035892,-0.0004392857484692633,140.1279827460852,-46.47155950110698,1989.2388971257064,-0.5321936332051909
0.112000000,-0.06540897517622568,-0.0657023686286351,-0.06555567190243039,-2.9927330847217823,-0.0004479746474645996,143.1891428379946,-49.599660542263564,1985.07804879091,-0.5532852872742158
0.116000000,-0.06978399733148422,-0.06997709848947409,-0.06988054791047915,-2.997143491583954,-0.0004476810344996515,146.36462791693702,-52.78968833322381,1980.950055291227,-0.5754358625577431
0.120000000,-0.07415997516166328,-0.07424151542647905,-0.07420074529407117,-3.000583687649274,-0.00046705509491851843,149.6547455340204,-56.12911233229693,1976.8784516985781,-0.5968251606936938
0.124000000,-0.07851604052861205,-0.07847523953167013,-0.07849564003014109,-3.0029789939401947,-0.00046250340091790604,153.06051296172234,-59.56143709599564,1972.8678987864766,-0.6184400911500596
0.128000000,-0.0828308048357087,-0.0826574122132655,-0.0827441085244871,-3.0041960245779054,-0.00045682730261689675,156.58251001694669,-63.103665413922386,1968.9245401033245,-0.63890832784449
0.132000000,-0.08708240239512577,-0.08676667478951572,-0.08692453859232074,-3.004248707612155,-0.000442999983811497,160.22031140651353,-66.77591639369564,1965.0400739546985,-0.6582321445156669
0.136000000,-0.09124855030462697,-0.09078118970181492,-0.09101487000322095,-3.0028996186999506,-0.000434051812616118,163.97596064334698,-70.53156615686066,1961.261708511422,-0.6759476104356867
0.140000000,-0.09530661027856979,-0.09467866682045667,-0.09499263854951323,-3.0001840172132397,-0.0004185677181283501,167.8469866308845,-74.47665866901764,1957.5777613492019,-0.6915401810394854
0.144000000,-0.09923363454001333,-0.09843640657383901,-0.09883502055692617,-2.9959603025512567,-0.00038091943524717203,171.8303239500288,-78.51297314480166,1953.9875165518113,-0.7070132307881991
0.148000000,-0.10300643239996532,-0.10203137098996251,-0.10251890169496392,-2.990154178338903,-0.000329416607968383,175.92623402206965,-82.65622560939494,1950.501439567006,-0.7200056436062585
0.152000000,-0.10660162857941202,-0.10544025529895862,-0.10602094193918532,-2.9826420525894743,-0.00027686515338408435,180.13288845432018,-86.94333594415446,1947.1245797203405,-0.7313726284657136
0.156000000,-0.10999571003667086,-0.10863955107606671,-0.10931763055636878,-2.9732591937941018,-0.00022272580964038252,184.44930776994107,-91.34694267763518,1943.8601091626824,-0.7399676634051033
0.160000000,-0.11316506824029204,-0.11160560976009037,-0.11238533900019121,-2.961973618030709,-0.0001453744702373111,188.8728993648385,-95.85817541901736,1940.721386499943,-0.7465244031134297
0.164000000,-0.1160860492034459,-0.11431471005003857,-0.11520037962674223,-2.948680142712381,-7.609843127978633e-05,193.40181236652063,-100.4767250949941,1937.7063311214997,-0.7497167531013851
0.168000000,-0.11873499495112583,-0.11674310251235909,-0.11773904873174246,-2.9332834901990346,2.1561819718976527e-05,198.034136630334,-105.23195937757566,1934.8254332304123,-0.7495296180460436
0.172000000,-0.12108827360091823,-0.11886704947991689,-0.11997766154041756,-2.9156462878635567,0.0001336997302417084,202.7682560814755,-110.0544353833775,1932.091288020036,-0.7471642335013797
0.176000000,-0.12312231400348139,-0.12066285318962855,-0.12189258359655497,-2.895735623164818,0.0002656762009207274,207.60000703507825,-114.99407814506003,1929.5074034912054,-0.7409505365024582
0.180000000,-0.12481364570012943,-0.12210687960698863,-0.12346026265355903,-2.873439779961737,0.00040396746346291895,212.5278643796605,-120.05978296503201,1927.0792095749362,-0.731386537359084
0.184000000,-0.12613892701128293,-0.12317558788545568,-0.12465725744836931,-2.8487010663670396,0.0005814180474407182,217.54674877496322,-125.21126162236374,1924.8073611582772,-0.7187557464861083
0.188000000,-0.12707497936109746,-0.12384555911042128,-0.12546026923575937,-2.8214736568784384,0.000742712349627795,222.65358324361694,-130.44276054022328,1922.6954134080088,-0.7001244939076035
0.192000000,-0.12759882446715665,-0.12409352340658586,-0.12584617393687125,-2.791724878431948,0.0009304201936998734,227.84408233522225,-135.79577193691057,1920.7574327782113,-0.6777087994901194
0.196000000,-0.12768776270789317,-0.12389643826074348,-0.12579210048431833,-2.7593475940573073,0.0011696029975369997,233.1150258041054,-141.2439234172656,1918.975136600964,-0.651071843963714
0.200000000,-0.12731939202248554,-0.12323152045028962,-0.12527545623638758,-2.7243228960537555,0.0014095086862474758,238.46116519988013,-146.78288674721603,1917.3692575695686,-0.6186569240993105
0.204000000,-0.12647164553276014,-0.12207629549470767,-0.1242739705137339,-2.68661050004797,0.0016743878165610578,243.879485210857,-152.41340224022986,1915.9270421801177,-0.5818748937958995
0.208000000,-0.1251228727587801,-0.12040868696124107,-0.12276577986001058,-2.6462082433176057,0.0019751070476136216,249.36487509963422,-158.14436935371214,1914.6485903750115,-0.5392741976736231
0.212000000,-0.12325188775798779,-0.11820707724002943,-0.12072948249900861,-2.6030814043489734,0.0022960393482037607,254.91255865134227,-163.9717157722116,1913.5410046473216,-0.49078050736113177
0.216000000,-0.12083802891156381,-0.11545038512880978,-0.1181442070201868,-2.557222647052372,0.002654285591929959,260.51816304148645,-169.88496689996646,1912.5987249617806,-0.4375023400074962
0.220000000,-0.1178612297267847,-0.11211814607118242,-0.11498968789898356,-2.508630851329685,0.003052943821808672,266.17662240407145,-175.90255246899164,1911.8265749823022,-0.37859100280463487
0.224000000,-0.11430208434512679,-0.10819059256346009,-0.11124633845429344,-2.4572923987775765,0.0034740124378665298,271.883890964556,-181.97921229920837,1911.2109644310099,-0.31355791548907774
0.228000000,-0.11014191154278308,-0.10364871976906898,-0.10689531565592603,-2.40324242728854,0.003936900474825481,277.63446902565994,-188.1637241525052,1910.7626110516114,-0.2426492637509341
0.232000000,-0.10536283344302433,-0.09847436874983373,-0.10191860109642903,-2.346518940075656,0.004419690737922951,283.42351244056107,-194.41137909327995,1910.4762908357834,-0.16542347952774872
0.236000000,-0.09994787322321486,-0.09265031925997391,-0.09629909624159438,-2.2871591174701305,0.004947540792032272,289.24653351681246,-200.7594631351218,1910.3510745116419,-0.08178703925799624
0.240000000,-0.09388100010897915,-0.08616036346974454,-0.09002068178936184,-2.2252311227699932,0.005519699115591477,295.09774152937547,-207.16390801397995,1910.3954238174722,0.007972419212125104
0.244000000,-0.08714721110490586,-0.07898940052226067,-0.08306830581358327,-2.1607947837657946,0.006132331465788692,300.9724188803293,-213.636732661859,1910.6065492986459,0.10406817220543196
0.248000000,-0.07973268095440744,-0.07112353018368367,-0.07542810556904556,-2.0938980326690584,0.006771502509887462,306.8658217325776,-220.19330620211935,1910.97825242818,0.20728859938908428
0.252000000,-0.07162479726144966,-0.06255014504253609,-0.06708747115199287,-2.0246698847233864,0.007461090526042813,312.7721642602196,-226.7863469702287,1911.5191549979575,0.3158538245175113
0.256000000,-0.06281224572235544,-0.0532580526328843,-0.05803514917761987,-1.9531399767976185,0.008201474050763609,318.68753580373675,-233.41860299801948,1912.2276505175307,0.4298358006325125
0.260000000,-0.05328519587273206,-0.04323752783014356,-0.04826136185143781,-1.8794928319311932,0.00898663073567813,324.60546518929345,-240.14392932494064,1913.1022287891965,0.5514503437718021
0.264000000,-0.04303530000490241,-0.03248044302873154,-0.037757871516816977,-1.803796816912509,0.00980500750012664,330.520976001487,-246.8616645099463,1914.145661825904,0.6777589593454736
0.268000000,-0.03205584111701398,-0.020980429465211614,-0.0265181352911128,-1.726170610172168,0.010676904954442915,336.43006093193287,-253.61006316382515,1915.3558077791952,0.810258886071628
0.272000000,-0.02034197584021058,-0.008732943540707083,-0.014537459690458832,-1.6467487305637893,0.011586491878864803,342.32798303831515,-260.4365683622699,1916.7247193821697,0.9496890039641921
0.276000000,-0.007890673560950745,0.004264665255618638,-0.0018130041526660534,-1.5656563902405298,0.012552960219273133,348.208357211115,-267.2827371100554,1918.2633073871882,1.0954888891546246
