case_index,campaign,velocity_mps,nominal_load_factor,time_step_s,mode7_frequency_scale,excited,pitch_rate_command_deg_s,pitch_amplitude_deg,stiffness_delta_k7,stem,input_sha256,status,message
1,stiffness_screen,66.75,1.0,0.01,0.99,False,0.0,0.0,-8.131135868561012,stiffness_screen__dt_0p0100__f7_0p990__dive_pullup_V_066p750_n_1p000_bank_p00p00_pitch_p00p00_qcmd_p00p00_nnom_01p00_shadow,48592ec6212194527dc7002460c13e932163302b694708169b5ae185f39fbbff,prepared,input MBDyn generated; no solver run
2,stiffness_screen,66.75,1.0,0.01,0.99,True,0.0,0.0,-8.131135868561012,stiffness_screen__dt_0p0100__f7_0p990__dive_pullup_V_066p750_n_1p000_bank_p00p00_pitch_p00p00_qcmd_p00p00_nnom_01p00_excited,575c7049e742f7d693c3ce4e8de0dcf4b30f7c241c51bab7a198d0864370df2d,prepared,input MBDyn generated; no solver run
3,stiffness_screen,66.75,1.0,0.01,1.01,False,0.0,0.0,8.212855827039002,stiffness_screen__dt_0p0100__f7_1p010__dive_pullup_V_066p750_n_1p000_bank_p00p00_pitch_p00p00_qcmd_p00p00_nnom_01p00_shadow,00c5b6c37c2c78f3ff8b1447f3573bd10d83b084f0729318d761143f7803a1ce,prepared,input MBDyn generated; no solver run
4,stiffness_screen,66.75,1.0,0.01,1.01,True,0.0,0.0,8.212855827039002,stiffness_screen__dt_0p0100__f7_1p010__dive_pullup_V_066p750_n_1p000_bank_p00p00_pitch_p00p00_qcmd_p00p00_nnom_01p00_excited,df661c6e7930935e2c729d1ebe0c969432dba24340fb9ebf4eb2a8d4b281f870,prepared,input MBDyn generated; no solver run
5,stiffness_screen,66.75,1.6,0.01,0.99,False,5.05232896200753,10.230966148065248,-8.131135868561012,stiffness_screen__dt_0p0100__f7_0p990__dive_pullup_V_066p750_n_1p000_bank_p00p00_pitch_p10p23_qcmd_p05p05_nnom_01p60_shadow,1d0ddb2609620c35c3515ebaaca54c58f9db3113f64827a9bb83f777349d0637,prepared,input MBDyn generated; no solver run
6,stiffness_screen,66.75,1.6,0.01,0.99,True,5.05232896200753,10.230966148065248,-8.131135868561012,stiffness_screen__dt_0p0100__f7_0p990__dive_pullup_V_066p750_n_1p000_bank_p00p00_pitch_p10p23_qcmd_p05p05_nnom_01p60_excited,dd73eea6a9f35d206f47091abb312de0a18f16f97584a93b295ba1c984d601bf,prepared,input MBDyn generated; no solver run
7,stiffness_screen,66.75,1.6,0.01,1.01,False,5.05232896200753,10.230966148065248,8.212855827039002,stiffness_screen__dt_0p0100__f7_1p010__dive_pullup_V_066p750_n_1p000_bank_p00p00_pitch_p10p23_qcmd_p05p05_nnom_01p60_shadow,5e2655cf2817e0615f333542021a9892aab917f83499cd37c26de701df33f1cd,prepared,input MBDyn generated; no solver run
8,stiffness_screen,66.75,1.6,0.01,1.01,True,5.05232896200753,10.230966148065248,8.212855827039002,stiffness_screen__dt_0p0100__f7_1p010__dive_pullup_V_066p750_n_1p000_bank_p00p00_pitch_p10p23_qcmd_p05p05_nnom_01p60_excited,e6d6b6b1252f7900400eb748284ec9b27edda8d520603487886f7c8cd086c8dc,prepared,input MBDyn generated; no solver run
