time_s,V_inf_mps,q_Pa,Vrel_mps,X_m,Y_m,Z_m,altitude_delta_m,lateral_delta_m,roll_deg,pitch_deg,yaw_deg,p_deg_s,q_deg_s,r_deg_s,alpha_deg,beta_deg,alpha_aero_mean_deg,beta_aero_mean_deg,vertical_speed_mps,trim_surface_deg,long_sas_deg,lat_sas_deg,dir_sas_deg,burst_deg,long_baseline_sas_deg,long_outer_loop_deg,lat_baseline_sas_deg,lat_outer_loop_deg,dir_baseline_sas_deg,dir_outer_loop_deg,dir_vy_loop_deg,flutter_safety_deg,constraint_Rx_N,constraint_Ry_N,constraint_Rz_N,tip_left_accel_z_mps2,tip_right_accel_z_mps2,Fx_residual_N,Fy_residual_N,Fz_residual_N,Mx_residual_Nm,My_residual_Nm,Mz_residual_Nm,saturation,safety,surface_BFL_deg,surface_BFR_deg,surface_WF1L_deg,surface_WF1R_deg,surface_WF2L_deg,surface_WF2R_deg,surface_WF3L_deg,surface_WF3R_deg,surface_WF4L_deg,surface_WF4R_deg,modal_q_FEM_7,modal_qdot_FEM_7,modal_q_FEM_8,modal_qdot_FEM_8,modal_q_FEM_9,modal_qdot_FEM_9,modal_q_FEM_10,modal_qdot_FEM_10,modal_q_FEM_11,modal_qdot_FEM_11,modal_q_FEM_12,modal_qdot_FEM_12,pid_alt_output,pid_vz_output,pid_pitch_output,pid_q_output,pid_roll_output,pid_p_output,pid_yaw_output,pid_r_output,pid_vy_output
0.0,60.8421,1924.293727359012,60.8421,4.144959537999548,0.0028074511056352,2.571490852914739,0.0,0.0,0.0,0.3411866974689497,0.0,0.0,0.0,0.0,0.34118669746894265,0.0,1.0426021663003358,0.0011139573501149109,0.0,0.8128099929715148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039556654038784896,-0.03507976675869746,123.63142520506237,-0.7116971341385787,-129.46276365717088,-11.01810986849147,103.78646510378968,0.842213865192252,0.0,0.0,0.38795395187475107,0.38795395187475107,0.8128099929715148,0.8128099929715148,0.8128099929715148,0.8128099929715148,0.8128099929715148,0.8128099929715148,0.8128099929715148,0.8128099929715148,-0.4850569859143846,0.0,-0.0006585056767404237,0.0,-0.02433028611781696,0.0,0.04985477893903949,0.0,-0.008268037684090401,0.0,0.00013659676306141115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,60.8421,1924.293728794652,60.84210002269595,4.144959537999548,0.0028074511056352,2.5715074713929194,1.6618478180268425e-05,0.0,0.0001371655609384738,0.3416822901084697,6.6046977773113095e-06,0.0137163096899616,0.0495592647409584,0.0005787311626285074,0.34011730689386266,-5.790464901309227e-06,1.16002456042905,0.0010882796965924852,0.0016618478180419236,0.8128099929715148,0.014133952646470346,0.005314403781277068,-0.0008373926641834004,0.0,0.013988949955289392,0.0001450026911809543,0.005259497484818093,5.490629645897539e-05,-0.0008321758447695326,-5.216819413867771e-06,3.55577580830785e-21,0.0,121.4169550982614,-2.377358763595206,0.0,0.0538492886021919,0.0036999140023792326,123.94406695315146,-2.308380941352964,30.516803659416542,11.36827248017972,6.313201940120422,0.2768331439248244,0.0,0.0,0.40125051185703803,0.4029252971854048,0.8181243967527919,0.8074955891902378,0.8181243967527919,0.8074955891902378,0.8128099929715148,0.8128099929715148,0.8128099929715148,0.8128099929715148,-0.4849649238620279,0.009206205235674156,-0.00036186981512405166,0.029663586161637202,-0.024405031447430732,-0.007474532961377224,0.049913168291744345,0.005838935270485676,-0.008339681202104475,-0.007164351801407333,0.00021836442289832646,0.00817676598369153,-2.5699616805355795e-07,-1.6584412786707636e-06,5.061548770720395e-06,0.0004883064712330269,1.9165913065704483e-06,0.0001835910962208724,-1.8210135050790665e-07,-2.9048416893587154e-05,1.2411999063546946e-22
0.04,60.8421,1924.2937391331495,60.84210018613667,4.144959537999548,0.0028074511056352,2.5715743571578455,8.350424310671371e-05,0.0,0.0005989873560524986,0.34323082259194876,2.6648232355819104e-05,0.03167443692231427,0.10432385942007191,0.001150850639688884,0.33874903299064524,-2.310686836957277e-05,1.1611927138641862,0.0008631549730396202,0.004759190114848216,0.8128099929715148,0.04307693507565938,0.017279515521275338,-0.0024464088282172064,0.0,0.042317010751270284,0.0007599243243890952,0.016984244747955412,0.0002952707733199265,-0.0024204453329824942,-2.59634952347124e-05,4.8268038637364374e-20,0.0,124.1228558652488,-2.241105700454955,0.0,0.040114814119204804,0.09347113587139179,124.0729498416457,-2.228590429543781,32.06999373617511,6.526424076862133,2.4294304511686917,0.17868991718336877,0.0,0.0,0.4285844781221932,0.4334772957786276,0.8300895084927902,0.7955304774502395,0.8300895084927902,0.7955304774502395,0.8128099929715148,0.8128099929715148,0.8128099929715148,0.8128099929715148,-0.4846341737799279,0.023011629121319363,0.0005173085066050695,0.058422797738511084,-0.024600663165355693,-0.012537998606842495,0.050027556581290655,0.006554715544567614,-0.008443420456290807,-0.004956337158649123,0.0003638864813231854,0.007942951663300335,-1.2928055789044095e-06,-7.99493329048545e-06,2.1464814282445918e-05,0.0009888358631899845,8.390303052114644e-06,0.0004092708874118804,-7.24195603835272e-07,-5.544106395656289e-05,1.5607524047682218e-21
0.06,60.8421,1924.2937624026893,60.842100554003494,4.144959537999548,0.0028074511056352,2.571704231585692,0.00021337867095300565,0.0,0.001411636634882602,0.3457148560100243,5.904747602589858e-05,0.049641895834064684,0.14552355414625676,0.0016117682592961269,0.33798285830723596,-5.0720401123099704e-05,1.1614595467478106,0.0003735050022823927,0.008210570945301211,0.8128099929715148,0.06815078466972901,0.030251088422280737,-0.003785425771415325,0.0,0.06613228035318162,0.0020185043165473855,0.029443624725049883,0.0008074636972308553,-0.0037189727818350902,-6.645298958023478e-05,1.4886493475538794e-19,0.0,124.22114250815771,-2.3212528584996392,0.0,-0.021862755446468866,0.19980020448075816,124.16552601617148,-2.318745527909758,31.62251356123575,7.542102019038367,2.130821197246302,0.15491046479591364,0.0,0.0,0.45231931077306475,0.45989016231589536,0.8430610813937955,0.7825589045492342,0.8430610813937955,0.7825589045492342,0.8128099929715148,0.8128099929715148,0.8128099929715148,0.8128099929715148,-0.48400072412352424,0.04006228702200637,0.0016932121376685792,0.06174009398575857,-0.02479001399632512,-0.00740228090518591,0.050091559207919474,0.0004709267893182899,-0.008439042663316099,0.004751695583978157,0.00039597655161666384,-0.003683880456039115,-3.3051864932673293e-06,-2.059398494120447e-05,4.899427829649355e-05,0.001319616204839971,1.9795497161895446e-05,0.0006185055029355806,-1.5954513281018905e-06,-7.43755757135873e-05,3.6356140997278964e-21
0.08,60.8421,1924.2937959232706,60.842101083928455,4.144959537999548,0.0028074511056352,2.5719010406913565,0.0004101877766173999,0.0,0.0026291253868290783,0.3488859866185167,0.00010383722662845464,0.07185644291677853,0.17203104717137868,0.002123580069916371,0.338070759179913,-8.83242976494287e-05,1.1601193320751586,-1.2556053111919808e-05,0.01148464042181377,0.8128099929715148,0.08432820387595794,0.044325107204573305,-0.004975833178265021,0.0,0.08047545788917955,0.0038527459867783794,0.04270089456318,0.0016242126413933066,-0.004850457523705738,-0.00012537565455928196,1.8831999417443817e-19,0.0,124.25567156858742,-2.364654390141765,0.0,-0.0710653844276816,0.2823650220073105,124.25981230929038,-2.383366905288904,29.078744906607778,10.903814702446361,1.2367928513237862,0.14760577169828146,0.0,0.0,0.467306322572444,0.477257988928974,0.8571351001760882,0.7684848857669415,0.8571351001760882,0.7684848857669415,0.8128099929715148,0.8128099929715148,0.8128099929715148,0.8128099929715148,-0.48307568532415135,0.05275147110978259,0.0026815262266374476,0.03793017881570163,-0.02480827587861815,0.00540958931246688,0.050031163555383174,-0.006615061954941147,-0.008314738569821244,0.00818884880047581,0.00023444454664620353,-0.012872244239824507,-6.356726264079103e-06,-3.936240380778132e-05,8.549192712806773e-05,0.0014895072095924874,3.690021952775883e-05,0.000872036904413293,-2.780984619703131e-06,-9.493733232000478e-05,2.9379937916330776e-21
0.1,60.8421,1924.2938378579836,60.842101746871926,4.144959537999548,0.0028074511056352,2.5721616568387327,0.0006708039239935146,0.0,0.004313341941579394,0.35251609048071536,0.00016263258957766163,0.09654091802940071,0.1911408465794195,0.002723137939821834,0.33878624369698773,-0.00013712822162414908,1.1595250717465901,3.753099391999438e-05,0.014579667482885939,0.8128099929715148,0.09436507451502757,0.06060630050501791,-0.00633910653417743,0.0,0.08822843591115426,0.006136638603873315,0.05781334257082149,0.002792957934196426,-0.006135719243821761,-0.00020338729035566968,1.517239004464969e-19,0.0,124.29892462817432,-2.3978511243858662,0.0,-0.06287528108484364,0.2981134329335281,124.34897240882961,-2.412246615527874,27.943829275835707,9.679679134963052,0.9772384645002945,0.18345299010232008,0.0,0.0,0.4759799198556011,0.48865813292395605,0.8734162934765328,0.7522036924664969,0.8734162934765328,0.7522036924664969,0.8128099929715148,0.8128099929715148,0.8128099929715148,0.8128099929715148,-0.48194244597231034,0.06066803069701356,0.0030338821974458833,-0.0022904243691014856,-0.02461184253349515,0.014446534849337968,0.04989485886009948,-0.007249370926620971,-0.008231799671553358,0.00040263625474948827,5.5027205085835386e-05,-0.005620198896886577,-1.0400574105881757e-05,-6.367902050572967e-05,0.00012871717015708708,0.0015902461914764025,6.0592404115094685e-05,0.001146029454475183,-4.3185711271291586e-06,-0.00011923967324532817,2.3581694418858534e-21
0.12000000000000001,60.8421,1924.293887227432,60.8421025273507,4.144959537999548,0.0028074511056352,2.5724827728294946,0.0009919199147557123,0.0,0.006405363286996823,0.3564547948163804,0.00023609240318825655,0.11300512503822654,0.20297957266479238,0.0033285825300513696,0.33994021045928813,-0.00019808911090382424,1.1587373803941614,0.0008030637417531421,0.017536780297872673,0.8128099929715148,0.10115567704701242,0.07439581015895837,-0.007824152178241228,0.0,0.09239402844456837,0.008761648602444041,0.07007976831215376,0.004316041846804615,-0.007521696429579519,-0.00030245574866170937,2.1293534928357999e-19,0.0,124.43030488154817,-2.4303241797933484,0.0,0.028058686636729564,0.24881056474332763,124.43919191532974,-2.4473978389601525,26.61522697652389,4.074666386706469,0.44780011263204367,0.21129977397543093,0.0,0.0,0.4812854767435222,0.4969337811000047,0.8872058031304731,0.7384141828125566,0.8872058031304731,0.7384141828125566,0.8128099929715148,0.8128099929715148,0.8128099929715148,0.8128099929715148,-0.4806994205281828,0.06380193545921893,0.002578302603962279,-0.04336660503928691,-0.02435579727455777,0.011582917930230526,0.04981308645768686,-0.0011312334649657768,-0.008290124835658295,-0.006376320083372165,0.00010622969023805455,0.010552330247281971,-1.5386988162792262e-05,-9.298871879408977e-05,0.00017712206187372933,0.001634913819601624,9.006587764609977e-05,0.0013002159376885617,-6.2391261843333644e-06,-0.00014331706281800068,5.074676435879385e-21
0.14,60.8421,1924.2939438501571,60.842103422496095,4.144959537999548,0.0028074511056352,2.5728621951957344,0.001371342280995327,0.0,0.008656518579635095,0.36054885996668945,0.0003230790530381644,0.11268685116109485,0.2066838889033198,0.003960135080173787,0.34133095767854066,-0.00027150944045383185,1.1586628161138415,0.0018487722240854614,0.02040744221207383,0.8128099929715148,0.10501710792699251,0.0786922603556066,-0.009362151762411102,0.0,0.09337711393396551,0.011639993993027004,0.07262117654382587,0.006071083811780718,-0.00893834262685256,-0.0004238091355585417,4.000151182601163e-19,0.0,124.57031955579585,-2.4504724488803182,0.0,0.18228708100391394,0.16747145393382257,124.52944137195487,-2.466662349935775,26.193544193602833,-4.2593955411706155,-0.06957024180829639,0.2639668615615168,0.0,0.0,0.4836089080393325,0.5023332115641547,0.8915022533271214,0.7341177326159083,0.8915022533271214,0.7341177326159083,0.8128099929715148,0.8128099929715148,0.8128099929715148,0.8128099929715148,-0.479479446801556,0.058491478366267426,0.0014895848361371259,-0.0662309738826692,-0.024249786722502782,-0.0007297927787629443,0.049858050509663236,0.005667085804070802,-0.008382822683362956,-0.003258763582668645,0.0003719660964011646,0.016509649822670378,-2.1283426581675216e-05,-0.00012685267783746096,0.00022919037830763692,0.0016245623487135222,0.00012185492571410269,0.0012347413370351137,-8.554603446721696e-06,-0.0001686899542018715,8.888485306907656e-21
0.16,60.8421,1924.2940086045962,60.84210444619527,4.144959537999548,0.0028074511056352,2.573298869621047,0.0018080167063079953,0.0,0.010737002306711185,0.36463342839528584,0.0004216780289592149,0.09584875572580916,0.20203698465930037,0.004583933390032958,0.3427291807830912,-0.0003574522958390348,1.158997454124551,0.002446765278579428,0.023260088987993175,0.8128099929715148,0.10604950179790038,0.07113673004182694,-0.010959534695778065,0.0,0.09136567632522649,0.014683825472673861,0.06331008658516186,0.007826643456665068,-0.010391531175650039,-0.0005680035201280262,6.52636871812753e-19,0.0,124.64480293927488,-2.505424128278231,0.0,0.3340730813050094,0.09557966004246732,124.62062214441538,-2.5115214016290115,26.320972606782956,-9.809673669707298,-0.5687592595376103,0.2972333604299006,0.0,0.0,0.48304391897687343,0.5049629883684295,0.8839467230133418,0.7416732629296878,0.8839467230133418,0.7416732629296878,0.8128099929715148,0.8128099929715148,0.8128099929715148,0.8128099929715148,-0.4784662230186277,0.04315017160833995,0.00023978556233600072,-0.059730552381966576,-0.024373772491247492,-0.011804395254099691,0.049976960591416174,0.006460958594028173,-0.008374843159254101,0.004005694717117311,0.0005890818993311791,0.0057362634022749374,-2.8074914790338707e-05,-0.000164970618156967,0.00028337182426510613,0.0015647014016597497,0.0001513464696828484,0.0009751975842324226,-1.1272459731582186e-05,-0.00019404291247558927,1.3892839159189772e-20
0.18,60.8421,1924.2940828516012,60.84210561996185,4.144959537999548,0.0028074511056352,2.5737929939175457,0.002302141002806587,0.0,0.012424628755309555,0.3685843323143668,0.0005291321923067427,0.07299321544693321,0.1931441466949112,0.0050867551446328345,0.34395796718840793,-0.00045454508358720676,1.1594745698675877,0.002208007829395553,0.026150728091937324,0.8128099929715148,0.10563205604526496,0.05677279345013949,-0.012428350691529252,0.0,0.08781585608212938,0.017816199963135566,0.04741159267546539,0.009361200774674115,-0.011694191124994124,-0.0007341595665351289,1.0507316132270255e-18,0.0,124.68268786091475,-2.601553166604259,0.0,0.4125242572509581,0.06586447642261439,124.71398950589975,-2.590755148811189,26.912131036009352,-9.307727003141135,-0.6300000531950177,0.27061535876979476,0.0,0.0,0.48115765722848675,0.5060143586115452,0.8695827864216543,0.7560371995213753,0.8695827864216543,0.7560371995213753,0.8128099929715148,0.8128099929715148,0.8128099929715148,0.8128099929715148,-0.4778376609331257,0.019927983120035485,-0.0006160917437574541,-0.026637984690486845,-0.024610485141019416,-0.012263959272660654,0.050049474854712395,0.0009731906902323351,-0.008292422076985832,0.004534089898457423,0.0005628726464271045,-0.008395372603921963,-3.576584561049382e-05,-0.00020717937324548537,0.00033853087483570987,0.001500650246521542,0.00017542108123376582,0.0006797792073701741,-1.4354543610522568e-05,-0.00021416136450170514,2.278461325201662e-20
