$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$  GRID IDS
$
$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$ UPDATE 8-28-2010
$ ----------------
$ Corrected Coordinate system for the following nodes
$ LHS:  60000,60005,60010,60015,60020,60025,60030,60035
$ RHS:  60500,60505,60510,60515,60520,60525,60530,60535
$
$ RELEASE 02 UPDATE 9-01-2010
$ ---------------------------
$ ADD NID 5000 --> Air Data Boom Mass Center
$ ADD NID's 5001, 5002 for Air Data Boom Attachments
$
$ RELEASE 02 UPDATE 9-01-2010
$ ---------------------------
$ ---Changes to match 046F0110 Drawing---
$ Removed nodes upon removal of selected elements to create access
$ openings.
$
$ RELEASE 04 UPDATE 11-3-2010
$ ---------------------------
$ Changes made to incorporate the moving of the control surface actuators
$ to the lower surface.
$
$ Updated coordinates of MLG
$-----------------------------------------------------------------------
$ 
$ FLUTTER UPDATES
$ ---------------
$ Commented out Stress Air Boom GRIDS
$ Added Change Key for coordinates changed above
$
$ RELEASE 07 UPDATE 4-4-2011
$ ---------------------------
$ Moved winglet grids into separate dataset MAD_L108_GRIDS_WINGLET_R007_001
$ Rest of grids are now in MAD_L108_GRIDS_R007_001
$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
GRID    52738   0       185.713 83.718  104.165 0
GRID    52739   0       186.462 85.572  104.165 0
GRID    52740   0       187.357 87.788  104.165 0
GRID    52741   0       188.252 90.002  104.165 0
GRID    52742   0       189.147 92.218  104.165 0
GRID    52743   0       190.042 94.434  104.165 0
GRID    52744   0       190.937 96.649  104.165 0
GRID    52745   0       191.832 98.864  104.165 0
GRID    52746   0       192.727 101.079 104.165 0
GRID    52747   0       193.008 101.775 104.165 0
GRID    52748   0       193.289 102.470 104.165 0
GRID    52749   0       193.870 103.908 104.165 0
GRID    52750   0       194.450 105.345 104.165 0
GRID    52751   0       182.305 80.133  103.926 0
GRID    52752   0       182.886 81.571  103.926 0
GRID    52753   0       183.467 83.008  103.926 0
GRID    52754   0       183.747 83.703  103.926 0
GRID    52755   0       184.028 84.399  103.926 0
GRID    52756   0       184.778 86.253  103.926 0
GRID    52757   0       185.672 88.468  103.926 0
GRID    52758   0       186.567 90.684  103.926 0
GRID    52759   0       187.462 92.899  103.926 0
GRID    52760   0       188.357 95.114  103.926 0
GRID    52761   0       189.252 97.330  103.926 0
GRID    52762   0       190.147 99.545  103.926 0
GRID    52763   0       191.042 101.760 103.926 0
GRID    52764   0       191.323 102.456 103.926 0
GRID    52765   0       191.604 103.151 103.926 0
GRID    52766   0       192.184 104.588 103.926 0
GRID    52767   0       192.765 106.026 103.926 0
GRID    52768   0       180.620 80.814  103.743 0
GRID    52769   0       181.201 82.251  103.743 0
GRID    52770   0       181.781 83.689  103.743 0
GRID    52771   0       182.062 84.384  103.743 0
GRID    52772   0       182.343 85.079  103.743 0
GRID    52773   0       183.092 86.934  103.743 0
GRID    52774   0       183.987 89.149  103.743 0
GRID    52775   0       184.882 91.365  103.743 0
GRID    52776   0       185.776 93.580  103.743 0
