$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$  GRID IDS
$
$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$ UPDATE 8-28-2010
$ ----------------
$ Corrected Coordinate system for the following nodes
$ LHS:  60000,60005,60010,60015,60020,60025,60030,60035
$ RHS:  60500,60505,60510,60515,60520,60525,60530,60535
$
$ RELEASE 02 UPDATE 9-01-2010
$ ---------------------------
$ ADD NID 5000 --> Air Data Boom Mass Center
$ ADD NID's 5001, 5002 for Air Data Boom Attachments
$
$ RELEASE 02 UPDATE 9-01-2010
$ ---------------------------
$ ---Changes to match 046F0110 Drawing---
$ Removed nodes upon removal of selected elements to create access
$ openings.
$
$ RELEASE 04 UPDATE 11-3-2010
$ ---------------------------
$ Changes made to incorporate the moving of the control surface actuators
$ to the lower surface.
$
$ Updated coordinates of MLG
$-----------------------------------------------------------------------
$ 
$ FLUTTER UPDATES
$ ---------------
$ Commented out Stress Air Boom GRIDS
$ Added Change Key for coordinates changed above
$
$ RELEASE 07 UPDATE 4-4-2011
$ ---------------------------
$ Moved winglet grids into separate dataset MAD_L108_GRIDS_WINGLET_R007_001
$ Rest of grids are now in MAD_L108_GRIDS_R007_001
$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$ WING FLAP #1 GRIDS
$.......2.......3.......4.......5.......6.......7.......8.......9.......
$
GRID    51500   0       167.939 55.496  104.724 0
GRID    51501   0       168.520 56.933  104.747 0
GRID    51502   0       169.102 58.370  104.763 0
GRID    51503   0       169.383 59.065  104.770 0
GRID    51504   0       169.664 59.760  104.775 0
GRID    51505   0       170.414 61.615  104.785 0
GRID    51506   0       171.309 63.830  104.789 0
GRID    51507   0       172.205 66.045  104.790 0
GRID    51508   0       173.100 68.260  104.790 0
GRID    51509   0       173.995 70.475  104.790 0
GRID    51510   0       174.890 72.691  104.790 0
GRID    51511   0       175.785 74.906  104.790 0
GRID    51512   0       176.681 77.121  104.790 0
GRID    51513   0       176.962 77.816  104.790 0
GRID    51514   0       177.243 78.512  104.790 0
GRID    51515   0       177.823 79.949  104.790 0
GRID    51516   0       178.404 81.386  104.790 0
GRID    51517   0       168.400 55.310  104.652 0
GRID    51518   0       168.982 56.747  104.675 0
GRID    51519   0       169.563 58.183  104.693 0
GRID    51520   0       169.844 58.879  104.699 0
GRID    51521   0       170.126 59.574  104.705 0
GRID    51522   0       170.875 61.428  104.715 0
GRID    51523   0       171.771 63.643  104.720 0
GRID    51524   0       172.666 65.859  104.721 0
GRID    51525   0       173.561 68.074  104.721 0
GRID    51526   0       174.456 70.289  104.721 0
GRID    51527   0       175.352 72.504  104.721 0
GRID    51528   0       176.247 74.719  104.721 0
GRID    51529   0       177.142 76.935  104.721 0
GRID    51530   0       177.423 77.630  104.721 0
