$
$ Panel Additions to the Upper Fuselage Skin
$
$-----------------------------------------------------------------------
$
$ GRIDS
$
$.......2.......3.......4.......5.......6.......7.......8.......9.......
GRID    960000  0       132.809 -2.000  108.45
GRID    960001  0       132.809 0.000   108.49
GRID    960002  0       132.809 2.000   108.45
$       
GRID    961000  0       132.809 -2.000  108.45
GRID    961001  0       136.809 -2.000  108.644
GRID    961002  0       136.809 -6.770  108.281
GRID    961003  0       136.809 -9.135  107.926
GRID    961004  0       136.809 -11.480 107.451
GRID    961005  0       136.809 -13.251 107.034
GRID    961006  0       132.809 -11.034 107.214
GRID    961007  0       128.809 -8.817  107.299
GRID    961008  0       128.809 -5.620  107.911
GRID    961009  0       128.809 -2.000  108.268
GRID    961010  0       132.809 -9.161  107.568
GRID    961011  0       132.809 -6.228  108.096
$                   
GRID    961100  0       148.954 -11.000 107.703
GRID    961101  0       153.026 -11.000 107.444
GRID    961102  0       161.171 -11.000 106.475
GRID    961103  0       161.171 -13.636 106.205
GRID    961104  0       148.954 -14.609 107.144
GRID    961105  0       153.026 -14.609 106.960
GRID    961106  0       157.098 -14.609 106.613
GRID    961107  0       161.170 -14.609 106.105
GRID    961108  0       157.098 -11.000 107.035
GRID    961109  0       148.954 -13.636 107.300
GRID    961110  0       153.026 -13.636 106.945
GRID    961111  0       157.098 -13.636 106.732
$                    
GRID    961200  0       140.809 -2.000  108.686
GRID    961201  0       161.171 -2.000  107.053
GRID    961202  0       140.809 -5.000  108.533
GRID    961203  0       161.171 -5.000  106.931
GRID    961204  0       140.809 -8.000  108.237
GRID    961205  0       144.881 -8.000  108.218
GRID    961206  0       148.954 -8.000  108.058
GRID    961207  0       153.026 -8.000  107.760
GRID    961208  0       157.098 -8.000  107.319
GRID    961209  0       161.171 -8.000  106.734
GRID    961210  0       144.881 -2.000  108.614
GRID    961211  0       148.954 -2.000  108.423
GRID    961212  0       153.026 -2.000  108.103
GRID    961213  0       157.098 -2.000  107.647
GRID    961214  0       144.881 -5.000  108.416
GRID    961215  0       148.954 -5.000  108.241
GRID    961216  0       153.026 -5.000  107.932
GRID    961217  0       157.098 -5.000  107.483
$                      
GRID    961300  0       165.170 -10.991 105.786
GRID    961301  0       168.112 -10.977 105.202
GRID    961302  0       171.056 -10.964 104.563
GRID    961303  0       174.004 -10.950 103.878
GRID    961304  0       165.170 -13.636 105.544
GRID    961305  0       173.190 -13.636 103.866
GRID    961306  0       165.170 -14.609 105.456
GRID    961307  0       167.745 -14.609 104.968
GRID    961308  0       170.32  -14.609 104.435
GRID    961309  0       172.895 -14.609 103.863
GRID    961310  0       167.844 -13.636 105.037
GRID    961311  0       170.517 -13.636 104.475
$                             
GRID    961400  0       165.170 -1.985  106.348
GRID    961401  0       169.023 -1.956  105.576
GRID    961402  0       172.882 -1.927  104.731
GRID    961403  0       165.170 -5.000  106.220
GRID    961404  0       172.261 -5.000  104.715
GRID    961405  0       165.170 -8.017  106.025
GRID    961406  0       168.408 -8.045  105.368
GRID    961407  0       171.640 -8.073  104.650
GRID    961408  0       168.716 -5.000  105.472
$
GRID    961500  0       185.608 -1.832  101.613
GRID    961501  0       188.59  -1.81   100.818
GRID    961502  0       184.327 -5.000  101.678
GRID    961503  0       187.300 -5.000  100.867
GRID    961504  0       183.045 -8.171  101.768
GRID    961505  0       186.008 -8.197  100.959
$       
$       
GRID    962000  0       132.809 2.000   108.45
GRID    962001  0       136.809 2.000   108.644
GRID    962002  0       136.809 6.770   108.281
GRID    962003  0       136.809 9.135   107.926
GRID    962004  0       136.809 11.480  107.451
GRID    962005  0       136.809 13.251  107.034
GRID    962006  0       132.809 11.034  107.214
GRID    962007  0       128.809 8.817   107.299
GRID    962008  0       128.809 5.620   107.911
GRID    962009  0       128.809 2.000   108.268
GRID    962010  0       132.809 9.161   107.568
GRID    962011  0       132.809 6.228   108.096
$                 
GRID    962100  0       148.954 11.000  107.703
GRID    962101  0       153.026 11.000  107.444
GRID    962102  0       161.171 11.000  106.475
GRID    962103  0       161.171 13.636  106.205
GRID    962104  0       148.954 14.609  107.144
GRID    962105  0       153.026 14.609  106.960
GRID    962106  0       157.098 14.609  106.613
GRID    962107  0       161.170 14.609  106.105
GRID    962108  0       157.098 11.000  107.035
GRID    962109  0       148.954 13.636  107.3
GRID    962110  0       153.026 13.636  106.945
GRID    962111  0       157.098 13.636  106.732
$                          
GRID    962200  0       140.809 2.000   108.686
GRID    962201  0       161.171 2.000   107.053
GRID    962202  0       140.809 5.000   108.533
GRID    962203  0       161.171 5.000   106.931
GRID    962204  0       140.809 8.000   108.237
GRID    962205  0       144.881 8.000   108.218
GRID    962206  0       148.954 8.000   108.058
GRID    962207  0       153.026 8.000   107.76
GRID    962208  0       157.098 8.000   107.319
GRID    962209  0       161.171 8.000   106.734
GRID    962210  0       144.881 2.000   108.614
GRID    962211  0       148.954 2.000   108.423
GRID    962212  0       153.026 2.000   108.103
GRID    962213  0       157.098 2.000   107.647
GRID    962214  0       144.881 5.000   108.416
GRID    962215  0       148.954 5.000   108.241
GRID    962216  0       153.026 5.000   107.932
GRID    962217  0       157.098 5.000   107.483
$                          
GRID    962300  0       165.17  10.991  105.786
GRID    962301  0       168.112 10.977  105.202
GRID    962302  0       171.056 10.964  104.563
GRID    962303  0       174.004 10.950  103.878
GRID    962304  0       165.17  13.636  105.544
GRID    962305  0       173.19  13.636  103.866
GRID    962306  0       165.170 14.609  105.456
GRID    962307  0       167.745 14.609  104.968
GRID    962308  0       170.32  14.609  104.435
