$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$  FUSELAGE GRID IDS
$  Extracted from /home/FLUT/MAD/V08/BULK/MAD_L108_GRIDS_R10_003.dat on
$    10/17/12
$
$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$ UPDATE 8-28-2010
$ ----------------
$ Corrected Coordinate system for the following nodes
$ LHS:  60000,60005,60010,60015,60020,60025,60030,60035
$ RHS:  60500,60505,60510,60515,60520,60525,60530,60535
$
$ RELEASE 02 UPDATE 9-01-2010
$ ---------------------------
$ ADD NID 5000 --> Air Data Boom Mass Center
$ ADD NID's 5001, 5002 for Air Data Boom Attachments
$
$ RELEASE 02 UPDATE 9-01-2010
$ ---------------------------
$ ---Changes to match 046F0110 Drawing---
$ Removed nodes upon removal of selected elements to create access
$ openings.
$
$ RELEASE 04 UPDATE 11-3-2010
$ ---------------------------
$ Changes made to incorporate the moving of the control surface actuators
$ to the lower surface.
$
$ Updated coordinates of MLG
$-----------------------------------------------------------------------
$ 
$ FLUTTER UPDATES
$ ---------------
$ Commented out Stress Air Boom GRIDS
GRID    10090   0       183.372 0.000   97.368  0
GRID    10091   0       183.372 0.000   98.594  0
GRID    10092   0       183.372 0.000   99.819  0
GRID    10093   0       183.372 0.000   101.045 0
GRID    10094   0       183.372 0.000   102.271 0
GRID    10101   0       144.881 0.000   108.641 0
GRID    10102   0       148.954 0.000   108.448 0
GRID    10103   0       153.026 0.000   108.128 0
GRID    10104   0       157.098 0.000   107.671 0
GRID    10106   0       140.809 0.000   103.374 0
GRID    10107   0       144.881 0.000   103.414 0
GRID    10108   0       148.954 0.000   103.454 0
GRID    10109   0       153.026 0.000   103.494 0
GRID    10110   0       157.098 0.000   103.533 0
GRID    10111   0       161.171 0.000   103.573 0
GRID    10112   0       140.809 0.000   100.673 0
GRID    10113   0       144.881 0.000   100.632 0
GRID    10114   0       148.954 0.000   100.590 0
GRID    10115   0       153.026 0.000   100.548 0
GRID    10116   0       157.099 0.000   100.507 0
GRID    10117   0       161.171 0.000   100.465 0
GRID    10118   0       140.809 0.000   96.736  0
GRID    10119   0       144.881 0.000   96.838  0
GRID    10120   0       148.954 0.000   96.941  0
GRID    10121   0       153.026 0.000   97.043  0
GRID    10122   0       157.099 0.000   97.145  0
GRID    10123   0       161.171 0.000   97.247  0
GRID    10124   0       186.361 0.000   99.825  0
GRID    10125   0       189.336 0.000   99.876  0
GRID    10130   0       136.809 0.000   92.742  0
