case_index,velocity_mps,nominal_load_factor,time_step_s,excited,stem,input_sha256,status,message
1,66.75,1.0,0.01,False,load_recovery__dt_0p0100__f7_1p000__dive_pullup_V_066p750_n_1p000_bank_p00p00_pitch_p00p00_qcmd_p00p00_nnom_01p00_shadow,c6fae2884bb8965bacd8822580960a1ec70f3e70466295fff66bf1fcf8f015ce,prepared,input prepared
2,66.75,1.6,0.01,False,load_recovery__dt_0p0100__f7_1p000__dive_pullup_V_066p750_n_1p000_bank_p00p00_pitch_p10p23_qcmd_p05p05_nnom_01p60_shadow,77443ac9339595ab4a29d9a3db824f4bb0d08d8f390f866fc01d50b70cbc33ff,prepared,input prepared
