time_s,pitch_rad,alpha_rad,pitch_rate_radps,vz_inps,symmetric_tip_body_in,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28,q_29,q_30,q_31,BFL_rad,WF1L_rad,WF2L_rad,WF3L_rad,WF4L_rad,BFR_rad,WF1R_rad,WF2R_rad,WF3R_rad,WF4R_rad
0.0,0.011715994028389298,0.01171599402838924,0.0,0.0,0.0,-0.4671637758772715,-0.0009652378712460535,-0.0241119342555094,0.047916063980212184,-0.007546184684418379,0.00019847450461209394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.938893903907228e-18,-3.469446951953614e-18,0.0,3.469446951953614e-18,0.0,-3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,-8.673617379884035e-19,-5.204170427930421e-18
0.002,0.011721698095360278,0.011388810739524118,0.005704066971230099,0.8694388977131993,-0.002308832026533203,-0.46694669417837853,-0.000927598557474212,-0.024235475218697625,0.04772685871481908,-0.007403057732575592,0.00019577978575494812,0.0001291101697367739,4.485847075169885e-06,-7.1456059887342e-05,-5.416149194954594e-07,-3.504408923235159e-05,3.481755846365712e-05,0.00012457232632520092,-2.0879892841711457e-05,3.3442122644622357e-06,3.705134711285769e-05,1.2765231564926944e-06,3.593060612429854e-05,-0.00016598937314774514,7.139415539935345e-06,3.6486963960475016e-05,-1.095073244844171e-05,9.57851696912964e-05,-2.011851161210462e-05,-6.713669574431931e-05,0.000666205091436006,-0.006087998358969081,-0.006087998252287965,-0.006087998136392296,-0.00608799812863199,0.0006662050914635049,-0.00608799834600739,-0.006087998250227977,-0.006087998159964711,-0.0060879981462373944
0.004,0.011745470049381979,0.011415586696419325,0.016410816577379972,0.8615930090320401,-0.0035366217057672955,-0.4663499573549687,-0.0008935565553990777,-0.024459549188948916,0.04707292930009086,-0.006950909367838275,0.0001867524210242921,0.0003793078855969133,-1.2337090989003997e-06,-3.892086878399951e-05,-7.296389315734092e-07,-0.00013456284025870982,0.00011514239644189734,0.00045440416269048006,-7.756302171293102e-05,1.2022658238181668e-05,8.849763882499565e-05,1.4833018732911923e-05,0.00015240415139555804,-0.0005513964752732706,2.4744091782159325e-05,0.00013190474097801865,-3.237324399430556e-05,7.735789180881593e-05,-4.3595698633068774e-05,-0.00012859381070600995,0.000668590743545999,-0.00609336833321099,-0.006093372900744373,-0.006087712007479209,-0.006088012839148271,0.0006685907452663351,-0.006082036689965365,-0.0060820408868916525,-0.0060877109452055905,-0.006088011523793722
0.006,0.011791072241019496,0.011535456342275145,0.028268588292502762,0.6676204366949048,-0.004384413726876701,-0.4654675994059675,-0.0008543237030909274,-0.024709411516054762,0.04602230729085642,-0.006152229211244768,0.0001752996439224707,0.0006599343005962094,-7.965424961772585e-06,0.00020996172089022186,-7.366606730205377e-07,-0.00029745187064105833,0.00023343977427901384,0.0009560699508082604,-0.00016780108685717906,2.4944865588792507e-05,0.00013365181366549277,4.8698901782890515e-05,0.00035044404536661665,-0.001064973465298382,4.874531337502379e-05,0.00027198415680200434,-6.212583041388408e-05,-0.00023392893307574913,-5.754620299717098e-05,-8.394514860194138e-05,0.0006822298552501771,-0.006096572723900124,-0.006096572659262096,-0.006086564086796121,-0.0060879993617219755,0.0006822298536479966,-0.006076555119690475,-0.006076555305660389,-0.006086564270692933,-0.006087999586920877
0.008,0.011860625184816564,0.011708109847695358,0.04077400142150825,0.39834124185420894,-0.004576348522616236,-0.4643337610169337,-0.0008083187224376241,-0.024949050660955933,0.04463968375961142,-0.004997638106554986,0.00016332925875416372,0.0009196616201602919,-1.2086522926171368e-05,0.0007242711910214151,-5.998758184962826e-07,-0.0005182485681111954,0.00038190356604143487,0.0015951095811434252,-0.0002865942878586523,4.0986119379073166e-05,0.00016246432684127266,0.00010484646299428044,0.0006184431764484771,-0.0016319651890366667,7.560458714568758e-05,0.0004404162024942151,-9.664820334933684e-05,-0.0008916416293803748,-5.506907261678404e-05,0.00010130393958316167,0.0006822298560103123,-0.006096572191732408,-0.006096572235364514,-0.006086563524043296,-0.0060879984620195015,0.0006822298560140142,-0.006076554665828043,-0.006076554692940847,-0.0060865635029915275,-0.006087998440492232
0.01,0.011954868066619717,0.011906733668329363,0.05329913539337371,0.12571795216806966,-0.004115506799799107,-0.4629783898463522,-0.0007540054972229862,-0.02516673909223367,0.04300310737802089,-0.003495006693561782,0.00015191387957285514,0.001131337187942919,-1.1613417916006738e-05,0.001504673807128656,-3.631356774955185e-07,-0.0007882739907019877,0.000552710240703041,0.002334657242432398,-0.00042717905701801626,5.8962514652087096e-05,0.0001724781068429706,0.00018097368389505722,0.0009358121110564697,-0.0021883753726973415,0.00010210748636421522,0.0006194723309644586,-0.0001320508990247025,-0.0018496479935912402,-3.52951018644898e-05,0.0004112184427815034,0.0006822298560812348,-0.0060965721603617,-0.0060965721599938695,-0.006086563395641994,-0.005453333145840934,0.0006822298561022874,-0.006076554631082402,-0.006076554630744566,-0.006086563395837396,-0.0054533331461538255
0.012,0.01207402086297038,0.01212488475887492,0.06580602752597309,-0.13284688414136847,-0.0031637212594839426,-0.4614289721012719,-0.0006908978246394839,-0.02536170917521235,0.04119382395221102,-0.0016655030244884454,0.00014162641221393833,0.0012803934344714802,-5.834221396738866e-06,0.0025255552846923444,-5.6752083283148954e-08,-0.00109602599357026,0.0007374421354667912,0.0031345995621861827,-0.0005813620211798725,7.763060798360481e-05,0.0001658631810379449,0.00027188402549189686,0.0012763605540207308,-0.002678804009125958,0.00012544562945461372,0.0007911058575837037,-0.00016436244014650874,-0.003000997837330518,-1.619724977638765e-06,0.0007963975651551028,0.0006822298560929199,-0.0060965721596782235,-0.00609657216010263,-0.00608656339607699,-0.0049340616334229495,0.0006822298560809017,-0.0060765546305497214,-0.006076554630952709,-0.006086563395784413,-0.004934061633366649
0.014,0.012218445575321368,0.012362572334103473,0.07853534683403303,-0.3764318599911995,-0.001995441755330063,-0.4597008027361682,-0.0006188948630500427,-0.025537241729459478,0.03928672669740919,0.00045779050167433274,0.00013277256710332965,0.0013598503684517913,5.3126087835216825e-06,0.0037436826880028517,2.8542237632823163e-07,-0.0014279507579525233,0.0009272956555332363,0.003952654720174525,-0.0007401410314592826,9.57621531811651e-05,0.00015071305040014355,0.0003706804329303094,0.0016114589446783345,-0.003058336557467639,0.0001434301096281686,0.0009385609759020009,-0.00019000308912376916,-0.00421420430859106,3.970014290604508e-05,0.0011901929643702998,0.0006822298560657055,-0.006096572160199706,-0.006096572160238143,-0.006086563395610726,-0.005778533492580047,0.0006822298560696642,-0.006076554631168989,-0.0060765546311921815,-0.006086563395720675,-0.005778533492600773
0.016,0.012388360395054088,0.01261869622353589,0.09133365923672611,-0.6015936666007424,-0.0009283892088332024,-0.45780957806079975,-0.0005380354727106471,-0.025698281256474786,0.03735627707624587,0.0028336086580790674,0.00012553746920620186,0.0013667109634407247,2.1549946504975325e-05,0.005105115590281135,6.280128466875855e-07,-0.0017691761507444522,0.0011133147710047587,0.00474584950647977,-0.000894189601601629,0.00011217832424948984,0.0001358277370266229,0.0004695667657176494,0.001912852151381242,-0.003294175710498509,0.0001544978457507764,0.0010478017124156969,-0.00020624357076858154,-0.005345853851114069,8.085286385575476e-05,0.001523712927610206,0.0006822298560718881,-0.006096572160259403,-0.006096572160259629,-0.0060865633957224614,-0.006469465005013203,0.0006822298560721275,-0.006076554631186084,-0.00607655463118489,-0.006086563395722855,-0.006469465004997587
0.018000000000000002,0.012583699117291847,0.012892158242330273,0.10402358664809577,-0.8056369686597238,-0.00026786663840017155,-0.4557777873752356,-0.0004483809807565643,-0.025850547633189433,0.035479446012750604,0.005415132473728249,0.00012005725926106497,0.0013001874027300097,4.24179687533809e-05,0.006551216629978731,9.389223882932435e-07,-0.0021042145046300804,0.0012867351030454832,0.0054725753887395106,-0.0010344089619139564,0.00012580801196974509,0.0001274043021406389,0.0005605730522066608,0.002155344814402994,-0.003367645339661817,0.0001577861670269852,0.0011088465998408282,-0.00021154340373472612,-0.006257902455937965,0.00011396768108052759,0.0017396018055815564,0.000682229856071104,-0.006096572160259635,-0.006096572160259739,-0.006086563395722494,-0.006400107434669929,0.0006822298560710728,-0.006076554631185243,-0.006076554631185414,-0.0060865633957225065,-0.006400107434445674
